Manufacturer;Device Family;Device Type;Device Description;Article Number;Device Role;Role specific;Model Number
ABB;AC500;PM5630-2ETH;AC500 - CPUs ;1SAP131000R0378;Controller;;
ABB;AC500 ;AC500-XC;;;Controller;;
ABB;AC500;PM5012-R-ETH;AC500-eCo-CPU ;1SAP122700R0072;Controller;;
ABB;AC500;CI541-DP;Kommunikationsschnittstellenmodule ;1SAP224100R0001;IO-Device;;
Omron;CJ2;CJ2H-CPU64-EIP;;CJ2 CJ2H-CPU64-EIP;Controller;;
Omron;CJ;CJ2H-CPU64;;CJ2H-CPU64;Controller;;
Omron;SPS;CP1E-E10DR-A;;CP1E-E10DR-A;Controller;;
Omron;CP2;CP2E-S60DR-A;;CP2E-S60DR-A;Controller;;
Omron;CRT;CRT1-AD04;;CRT1-AD04;Controller;;
Omron;DRT;DRT2-TS04T;;DRT2-TS04T;Controller;;
Omron;NJ;NJ101-1000;;NJ101-1000;Controller;;
Omron;NX;NX701-Z700;;NX701-Z700;Controller;;
Omron;RT-Serie;RT100-4GM3010-G;;RT100-4GM3010-G;IO-Device;;
Phoenix Contact;PLCnext Control;AXC F 1152;;1151412;Controller;;
Phoenix Contact;Axioline F;AXL F BK SAS;;2701457;IO-Device;;
Phoenix Contact;Inline;IL EIP BK DI8 DO4 2TX-PAC;;2897758;IO-Device;;
Phoenix Contact;PLCnext Control;AFC F 2152;;2404267;Controller;;
Phoenix Contact;Remote Field Controller;RFC 4072S;;1051328;Controller;;
Siemens;SCALANCE;XB-200 managed XB213-3;;6GK5205-3BD00-2AB2;Switch;;
Siemens;SCALANCE;XCM-/-XCH-100 unmanaged XCM108PoE;;6GK5108-0RA00-2AC2 ;Switch;;
Siemens;SCALANCE;XR-100WG unmanaged XR124WG;;6GK5124-0BA00-2AR3;Switch;;
Siemens;SCALANCE;XB-200 managed XB213-3;;6GK5213-3BD00-2AB2;Switch;;
Siemens;SCALANCE ;XCM-/-XCH-100 unmanaged XCM108PoE;;6GK5108-0PA00-2AC2 ;Switch;;
Siemens;SCALANCE;X-100 unmanaged XC116;;6GK5116-0BA00-2AC2;Switch;;
Siemens;SIMATIC;S7 Digitaleingabe SM 326;;6ES7336-4GE00-0AB0;Controller;;
Siemens;SIPLUS;S7-300 SM 331;;6AG1331-7RD00-2AB0;Controller;;
Siemens;LOGO!;NET CSM 12/24 ;;6GK7177-1MA20-0AA0 ;Switch;;
Siemens;SIPLUS;NET CSM 1277;;6GK7277-1AA10-0AA0 ;Switch;;
Siemens;SIMATIC;S7-1500 S7-1513-1 PN;;6ES7513-1AL02-0AB0;Controller;;
Siemens;SIMATIC;CP 1623;;6GF3550-0GE10;;;
Siemens;SIMATIC;MV540;;6GF3540-0GE10;;;
Siemens;SIMATIC;CP 1543-1;;6GK7543-1AX00-0XE0;;;
Siemens;SIMATIC;CP 1623;;6GK1162-3AA00;;;
Siemens;SIMATIC;S7-300 CPU 317TF-3 PN/DP;;6ES7317-7UL10-0AB0;Controller;;
Siemens;SIPLUS;S7-1200 CPU 1214C;;6AG1214-1HG40-2XB0;Controller;;
Siemens;SIMATIC;S7-1500 CPU 1513-1;;6ES7513-1AL02-0AB0;Controller;;
Siemens;SIMATIC;S7-1200F CPU 1215FC;;6ES7212-1AF40-0XB0;Controller;;
Siemens;SIMOTION ;C240 Simatic Panel PC 677B;;6AU1240-1AA00-0CA0;Controller;;
Siemens;SIMATIC;ET 200SP CPU 1510SP-1 PN;;6ES7510-1DK03-0AB0;Controller;;
Siemens;SIMOTION;D4x5-2 D410-2 DP;;6AG1435-2AD00-4AA0;Controller;;
Siemens;SIPLUS;S7-1200 CPU 1212C;;6ES7212-1HE40-0XB0;Controller;;
Siemens;RUGGEDCOM ;RM1224-EU 4G ROUTER;;6GK6108-4AM00;Router;;
